iter	Passed	Remaining
412	2846	4045
413	2849	4033
414	2854	4023
415	2857	4010
416	2861	4000
417	2864	3988
418	2867	3976
419	2871	3965
420	2874	3953
421	2878	3941
422	2880	3929
423	2884	3919
424	2888	3907
425	2891	3896
426	2894	3884
427	2898	3873
428	2903	3864
429	2907	3854
430	2910	3842
431	2914	3831
432	2917	3820
433	2921	3810
434	2924	3798
435	2928	3787
436	2931	3776
437	2934	3765
438	2943	3761
439	2958	3764
440	2962	3754
441	2967	3746
442	2971	3736
443	2975	3726
444	2979	3715
445	2982	3704
446	2986	3694
447	2989	3683
448	2993	3673
449	2996	3662
450	2999	3651
451	3002	3640
452	3006	3629
453	3010	3620
454	3013	3609
455	3017	3599
456	3020	3588
457	3024	3579
458	3028	3569
459	3031	3559
460	3035	3549
461	3039	3539
462	3044	3531
463	3056	3531
464	3063	3524
465	3067	3515
466	3070	3504
467	3074	3495
468	3077	3484
469	3081	3475
470	3087	3467
471	3090	3457
472	3095	3448
473	3099	3439
474	3102	3429
475	3106	3419
476	3110	3410
477	3113	3400
478	3118	3392
479	3122	3382
480	3125	3372
481	3130	3363
482	3133	3354
483	3138	3346
484	3143	3337
485	3147	3328
486	3151	3319
487	3156	3311
488	3162	3304
489	3169	3299
490	3174	3290
491	3178	3281
492	3183	3274
493	3188	3265
494	3193	3257
495	3197	3248
496	3201	3240
497	3205	3231
498	3210	3222
499	3213	3213
500	3217	3204
501	3220	3195
502	3224	3186
503	3228	3177
504	3232	3168
505	3238	3161
506	3241	3152
507	3244	3142
508	3248	3133
509	3252	3124
510	3255	3115
511	3258	3105
512	3261	3096
513	3264	3086
514	3267	3077
515	3271	3068
516	3274	3059
517	3277	3049
518	3280	3040
519	3283	3031
520	3286	3021
521	3289	3012
522	3294	3004
523	3296	2994
524	3300	2986
525	3303	2977
526	3306	2967
527	3309	2958
528	3312	2949
529	3315	2940
530	3318	2931
531	3322	2922
532	3325	2913
533	3329	2905
534	3332	2896
535	3335	2887
536	3339	2879
537	3342	2870
538	3346	2862
539	3349	2853
540	3353	2845
541	3357	2836
542	3360	2828
543	3363	2819
544	3367	2811
545	3370	2802
546	3373	2794
547	3377	2785
548	3380	2777
549	3384	2769
550	3387	2760
551	3391	2752
552	3394	2743
553	3398	2735
554	3401	2727
555	3405	2719
556	3409	2711
557	3412	2703
558	3416	2695
559	3420	2687
560	3424	2679
561	3428	2672
562	3431	2663
563	3435	2655
564	3439	2647
565	3442	2639
566	3445	2631
567	3451	2624
568	3454	2616
569	3457	2608
570	3461	2600
571	3464	2592
572	3467	2584
573	3471	2576
574	3474	2568
575	3478	2560
576	3481	2552
577	3485	2544
578	3489	2536
579	3492	2529
580	3496	2521
581	3499	2513
582	3504	2506
583	3507	2498
584	3510	2490
585	3513	2482
586	3516	2473
587	3520	2466
588	3523	2458
589	3526	2450
590	3531	2443
591	3534	2436
592	3537	2427
593	3540	2419
594	3543	2411
595	3545	2403
596	3550	2396
597	3553	2388
598	3556	2380
599	3559	2372
600	3563	2365
601	3566	2357
602	3570	2350
603	3574	2343
604	3578	2336
605	3582	2329
606	3585	2321
607	3589	2314
608	3593	2307
609	3596	2299
610	3599	2291
611	3602	2284
612	3607	2277
613	3610	2269
614	3614	2262
615	3617	2255
616	3621	2247
617	3623	2240
618	3627	2232
619	3630	2225
620	3634	2218
621	3638	2210
622	3641	2203
623	3644	2195
624	3649	2189
625	3655	2183
626	3658	2176
627	3662	2169
628	3665	2162
629	3670	2155
630	3673	2148
631	3676	2140
632	3680	2134
633	3684	2126
634	3687	2119
635	3691	2112
636	3695	2105
637	3698	2098
638	3701	2091
639	3704	2083
640	3708	2076
641	3711	2069
642	3714	2062
643	3719	2056
644	3723	2049
645	3726	2041
646	3729	2034
647	3732	2027
648	3736	2020
649	3740	2013
650	3743	2006
651	3746	1999
652	3749	1992
653	3752	1985
654	3756	1978
655	3760	1971
656	3763	1964
657	3766	1957
658	3769	1950
659	3772	1943
660	3774	1936
661	3777	1928
